datetime,year,month,day,hour,VOC,CO,Pb,MP,SO2,NOx
2023-01-01 00:00:00,2023,1,1,0,2.0488135039273248,1.7172808398687778,2.4505414497952236,2.470684389871864,1.9126596262065847,2.3659517515794444
2023-01-01 01:00:00,2023,1,1,1,2.181115192661488,2.4025547010586634,1.981352053453227,1.5099725521051512,2.250016636365721,2.3726165420885046
2023-01-01 02:00:00,2023,1,1,2,1.9687887798560824,2.1709985977880333,1.5602742765533124,1.7895906804778994,1.7637704618867622,2.3495868037400545
2023-01-01 03:00:00,2023,1,1,3,1.7519899641834442,1.277364030325984,1.7697768140061494,1.4073962097474495,1.6779058075414552,2.0828497191253215
2023-01-01 04:00:00,2023,1,1,4,1.4236547993389048,1.2329320322593387,1.0322725480532677,1.1829025039724954,1.407234831879216,1.959737620450908
2023-01-01 05:00:00,2023,1,1,5,1.404713158169177,1.124013020889727,1.3424175634758948,0.8983412865044443,1.5483484621982986,0.8655507929711943
2023-01-01 06:00:00,2023,1,1,6,0.9375872112626925,0.8192908310147156,0.8472558249974348,1.0357971170398594,1.4364047747203474,0.8639626635159536
2023-01-01 07:00:00,2023,1,1,7,1.1329539556795591,0.2924487737864722,0.7707838808048462,1.1866232607018485,0.9850901071630604,0.46564436756911337
2023-01-01 08:00:00,2023,1,1,8,0.9636627605010295,0.17071664791120428,0.7407373080449755,0.16167070509987663,0.9302950931353782,0.5436663719959087
2023-01-01 09:00:00,2023,1,1,9,0.1763347376392302,0.07526311918285128,-0.01069422301943207,0.5686645627836673,0.5288047186615743,0.7005442248305891
2023-01-01 10:00:00,2023,1,1,10,0.4256996342982258,-0.21289175534344856,0.5647097304424247,-0.09360387493439032,-0.2259615398178197,0.41449870261904925
2023-01-01 11:00:00,2023,1,1,11,0.06296909346383622,0.3615258761436812,-0.18732945014497254,0.27476229651289236,0.3306411649430528,0.0772611404806402
2023-01-01 12:00:00,2023,1,1,12,0.06804456109393231,0.020412431068560832,0.10604162327305311,-0.35050278412678115,0.06789508856648374,-0.3676070614866537
2023-01-01 13:00:00,2023,1,1,13,0.45967081200359267,-0.24447850348012562,0.10753508356751967,-0.360949557972082,0.41634485680808314,-0.4139466106531858
2023-01-01 14:00:00,2023,1,1,14,-0.29498934558655193,0.48169930705923975,-0.08198936025936115,-0.3307954445887617,0.16439672944221867,0.4272878181262291
2023-01-01 15:00:00,2023,1,1,15,-0.11997748148500725,0.5535598792521432,-0.13648702591953116,0.10341736254546124,0.6469474848260588,0.31739269677741405
2023-01-01 16:00:00,2023,1,1,16,0.02021839744032522,0.38627736921801853,0.6459877714785496,0.10172817057190636,0.22136967865403606,0.14722390087124687
2023-01-01 17:00:00,2023,1,1,17,1.0738008004454174,1.0823901591964495,1.1554975556250058,0.613632071425493,0.6466238987778472,0.9157876523370148
2023-01-01 18:00:00,2023,1,1,18,1.2781567509498504,1.137448571695616,0.8565983702730768,0.6984380698716947,1.1218798179477705,0.9584301484129625
2023-01-01 19:00:00,2023,1,1,19,1.6288311933493396,1.3822784633988707,1.3375336266020676,1.570125101026674,1.7270890574461235,1.4321039183967077
2023-01-01 20:00:00,2023,1,1,20,1.978618342232764,1.103918125520889,1.2243598307825219,1.6864907914179716,1.7338896209537795,1.7609256216807219
2023-01-01 21:00:00,2023,1,1,21,2.006265345403271,1.615311551691163,1.772256943142251,1.8859676351212447,1.3631685240434992,1.339691610793376
2023-01-01 22:00:00,2023,1,1,22,1.8275047660373702,1.4374397734488256,1.6284060787077408,1.386065044830691,1.5905546979859577,1.877057573420658
2023-01-01 23:00:00,2023,1,1,23,2.2464550025755234,1.8668385585975469,2.4281460568175626,1.9771092237738581,2.421048090245408,2.4304974664925845
2023-01-02 00:00:00,2023,1,2,0,1.6182744258689332,1.5594480208897572,1.5951986527222928,1.542891050280209,2.481868356850246,1.5911863563869622
2023-01-02 01:00:00,2023,1,2,1,2.105846847616592,1.6588027224676036,1.8116458715713755,2.200519584851664,1.5328196641187342,2.1720512538704426
2023-01-02 02:00:00,2023,1,2,2,1.509378691193485,1.8224064162974587,1.6244228442421598,1.3921169428729274,1.8083369603024808,2.260212671424334
2023-01-02 03:00:00,2023,1,2,3,2.1517756982361314,1.8251888996308705,1.5945775479220696,1.684349822239005,1.6430132858668247,1.931199837958903
2023-01-02 04:00:00,2023,1,2,4,1.5218483217500718,1.1809676264338216,1.5271843278093233,1.4729253700479914,1.6602473768434987,1.7385037683510411
2023-01-02 05:00:00,2023,1,2,5,1.1734809850930443,0.841212575930028,1.1800688787878002,1.1504298399320283,1.4500713275476156,1.2035928337589388
2023-01-02 06:00:00,2023,1,2,6,0.764555612104627,1.3737206661300636,1.155267370372525,1.0685866218137579,0.974976240508165,0.9986136829100747
2023-01-02 07:00:00,2023,1,2,7,1.015414644331696,0.32463528908335076,1.0302803728041043,0.7813395785768893,0.3850691521602511,1.04073381220396
2023-01-02 08:00:00,2023,1,2,8,0.4561503322165487,0.5687203990394378,0.17620090219329226,0.1939813307605947,0.5763518944256396,0.5472657450268417
2023-01-02 09:00:00,2023,1,2,9,0.361327167682101,0.5841456260307372,-0.18901087283475654,-0.09358953053211777,-0.0021493769707763843,0.010895140423399396
2023-01-02 10:00:00,2023,1,2,10,-0.3472356033480836,-0.1984847545559975,0.5728535661985834,-0.27255990403995406,-0.11589366285150177,-0.3076120565490655
2023-01-02 11:00:00,2023,1,2,11,0.1517096707868088,0.1803909234921352,-0.1031412705496309,-0.10175170428063157,-0.09925791264305756,0.050569148231564276
2023-01-02 12:00:00,2023,1,2,12,0.11209572272242141,0.23062200426166723,0.0922929953441175,0.2671441415764104,0.18155088353762783,0.04184453863665838
2023-01-02 13:00:00,2023,1,2,13,0.15100817058568855,0.24126550000856845,-0.3078730677507932,0.004703956668221265,-0.2430540961411411,-0.2824284898766744
2023-01-02 14:00:00,2023,1,2,14,0.5777226747301853,-0.3143156790473865,0.4051409863356035,0.1897408506855009,0.18267429994344825,0.5412638098350389
