datetime,year,month,day,hour,random,seasonal,timeSeries
2022-01-01 00:00:00,2022,1,1,0,0.5488135039273248,0.8660254037844387,0.9818262058195442
2022-01-01 01:00:00,2022,1,1,1,0.7151893663724195,1.1248444488869596,1.2776115908158991
2022-01-01 02:00:00,2022,1,1,2,0.6027633760716439,1.3660254037844386,1.2857760779638632
2022-01-01 03:00:00,2022,1,1,3,0.5448831829968969,1.5731321849709863,1.33144927548239
2022-01-01 04:00:00,2022,1,1,4,0.4236547993389047,1.7320508075688772,1.2896802031233432
2022-01-01 05:00:00,2022,1,1,5,0.6458941130666561,1.831951230073507,1.5618697281034097
2022-01-01 06:00:00,2022,1,1,6,0.4375872112626925,1.8660254037844388,1.370599913154912
2022-01-01 07:00:00,2022,1,1,7,0.8917730007820798,1.831951230073507,1.8077486158188334
2022-01-01 08:00:00,2022,1,1,8,0.9636627605010293,1.7320508075688774,1.8296881642854679
2022-01-01 09:00:00,2022,1,1,9,0.3834415188257777,1.5731321849709863,1.170007611311271
2022-01-01 10:00:00,2022,1,1,10,0.7917250380826646,1.3660254037844386,1.4747377399748838
2022-01-01 11:00:00,2022,1,1,11,0.5288949197529045,1.1248444488869598,1.0913171441963843
2022-01-01 12:00:00,2022,1,1,12,0.5680445610939323,0.8660254037844388,1.0010572629861518
2022-01-01 13:00:00,2022,1,1,13,0.925596638292661,0.6072063586819179,1.2291998176336199
2022-01-01 14:00:00,2022,1,1,14,0.07103605819788694,0.366025403784439,0.25404876009010646
2022-01-01 15:00:00,2022,1,1,15,0.08712929970154071,0.15891862259789158,0.1665886110004865
2022-01-01 16:00:00,2022,1,1,16,0.02021839744032572,2.220446049250313e-16,0.02021839744032583
2022-01-01 17:00:00,2022,1,1,17,0.832619845547938,-0.0999004225046296,0.7826696342956232
2022-01-01 18:00:00,2022,1,1,18,0.7781567509498505,-0.1339745962155613,0.7111694528420698
2022-01-01 19:00:00,2022,1,1,19,0.8700121482468192,-0.09990042250462972,0.8200619369945044
2022-01-01 20:00:00,2022,1,1,20,0.978618342232764,1.1102230246251565e-16,0.9786183422327641
2022-01-01 21:00:00,2022,1,1,21,0.7991585642167236,0.15891862259789102,0.8786178755156691
2022-01-01 22:00:00,2022,1,1,22,0.46147936225293185,0.36602540378443826,0.644492064145151
2022-01-01 23:00:00,2022,1,1,23,0.7805291762864555,0.6072063586819172,1.084132355627414
2022-01-02 00:00:00,2022,1,2,0,0.11827442586893322,0.8660254037844387,0.5512871277611526
2022-01-02 01:00:00,2022,1,2,1,0.6399210213275238,1.1248444488869596,1.2023432457710035
2022-01-02 02:00:00,2022,1,2,2,0.1433532874090464,1.3660254037844386,0.8263659893012657
2022-01-02 03:00:00,2022,1,2,3,0.9446689170495839,1.5731321849709863,1.731235009535077
2022-01-02 04:00:00,2022,1,2,4,0.5218483217500717,1.7320508075688772,1.3878737255345102
2022-01-02 05:00:00,2022,1,2,5,0.4146619399905236,1.831951230073507,1.330637555027277
2022-01-02 06:00:00,2022,1,2,6,0.26455561210462697,1.8660254037844388,1.1975683139968463
2022-01-02 07:00:00,2022,1,2,7,0.7742336894342167,1.831951230073507,1.69020930447097
2022-01-02 08:00:00,2022,1,2,8,0.45615033221654855,1.7320508075688774,1.3221757360009874
2022-01-02 09:00:00,2022,1,2,9,0.5684339488686485,1.5731321849709863,1.3550000413541416
2022-01-02 10:00:00,2022,1,2,10,0.018789800436355142,1.3660254037844386,0.7018025023285744
2022-01-02 11:00:00,2022,1,2,11,0.6176354970758771,1.1248444488869598,1.1800577215193568
2022-01-02 12:00:00,2022,1,2,12,0.6120957227224214,0.8660254037844388,1.0451084246146407
2022-01-02 13:00:00,2022,1,2,13,0.6169339968747569,0.6072063586819179,0.9205371762157158
2022-01-02 14:00:00,2022,1,2,14,0.9437480785146242,0.366025403784439,1.1267607804068436
2022-01-02 15:00:00,2022,1,2,15,0.6818202991034834,0.15891862259789158,0.7612796104024292
2022-01-02 16:00:00,2022,1,2,16,0.359507900573786,2.220446049250313e-16,0.3595079005737861
2022-01-02 17:00:00,2022,1,2,17,0.43703195379934145,-0.0999004225046296,0.38708174254702665
2022-01-02 18:00:00,2022,1,2,18,0.6976311959272649,-0.1339745962155613,0.6306438978194842
2022-01-02 19:00:00,2022,1,2,19,0.06022547162926983,-0.09990042250462972,0.010275260376954976
2022-01-02 20:00:00,2022,1,2,20,0.6667667154456677,1.1102230246251565e-16,0.6667667154456678
2022-01-02 21:00:00,2022,1,2,21,0.6706378696181594,0.15891862259789102,0.7500971809171049
2022-01-02 22:00:00,2022,1,2,22,0.2103825610738409,0.36602540378443826,0.39339526296606003
2022-01-02 23:00:00,2022,1,2,23,0.1289262976548533,0.6072063586819172,0.4325294769958119
2022-01-03 00:00:00,2022,1,3,0,0.31542835092418386,0.8660254037844387,0.7484410528164032
2022-01-03 01:00:00,2022,1,3,1,0.3637107709426226,1.1248444488869596,0.9261329953861024
2022-01-03 02:00:00,2022,1,3,2,0.5701967704178796,1.3660254037844386,1.253209472310099
2022-01-03 03:00:00,2022,1,3,3,0.43860151346232035,1.5731321849709863,1.2251676059478136
2022-01-03 04:00:00,2022,1,3,4,0.9883738380592262,1.7320508075688772,1.8543992418436648
2022-01-03 05:00:00,2022,1,3,5,0.10204481074802807,1.831951230073507,1.0180204257847816
2022-01-03 06:00:00,2022,1,3,6,0.2088767560948347,1.8660254037844388,1.141889457987054
2022-01-03 07:00:00,2022,1,3,7,0.16130951788499626,1.831951230073507,1.0772851329217499
2022-01-03 08:00:00,2022,1,3,8,0.6531083254653984,1.7320508075688774,1.519133729249837
2022-01-03 09:00:00,2022,1,3,9,0.2532916025397821,1.5731321849709863,1.0398576950252751
2022-01-03 10:00:00,2022,1,3,10,0.4663107728563063,1.3660254037844386,1.1493234747485257
2022-01-03 11:00:00,2022,1,3,11,0.24442559200160274,1.1248444488869598,0.8068478164450826
