datetime,datetime,year,month,day,random,sazonal,timeSeries
2005-01-01 00:00:00,2005-01-01 00:00:00,2005,1,1,0.14458644631166262,1.0,10.144586446311664
2005-01-01 01:00:00,2005-01-01 01:00:00,2005,1,1,0.6011709219319099,0.9999997588734665,10.601168510666575
2005-01-01 02:00:00,2005-01-01 02:00:00,2005,1,1,0.6609480761844069,0.9999990354939822,10.66093843112423
2005-01-01 03:00:00,2005-01-01 03:00:00,2005,1,1,0.7885622287965045,0.999997829861896,10.788540527415464
2005-01-01 04:00:00,2005-01-01 04:00:00,2005,1,1,0.3761033571963235,0.9999961419777894,10.376064776974216
2005-01-01 05:00:00,2005-01-01 05:00:00,2005,1,1,0.1999224447739676,0.9999939718424762,10.19986216319873
2005-01-01 06:00:00,2005-01-01 06:00:00,2005,1,1,0.0784519329266592,0.9999913194570031,10.07836512749669
2005-01-01 07:00:00,2005-01-01 07:00:00,2005,1,1,0.02163711577529881,0.9999881848226492,10.02151896400179
2005-01-01 08:00:00,2005-01-01 08:00:00,2005,1,1,0.18631816797069667,0.9999845679409262,10.186163847379959
2005-01-01 09:00:00,2005-01-01 09:00:00,2005,1,1,0.02673389551748928,0.9999804688135782,10.026538583653272
2005-01-01 10:00:00,2005-01-01 10:00:00,2005,1,1,0.6320830655221458,0.9999758874425823,10.631841939947968
2005-01-01 11:00:00,2005-01-01 11:00:00,2005,1,1,0.6645359776044167,0.9999708238301476,10.664244215905892
2005-01-01 12:00:00,2005-01-01 12:00:00,2005,1,1,0.2034854640686241,0.9999652779787161,10.203138243855786
2005-01-01 13:00:00,2005-01-01 13:00:00,2005,1,1,0.655280437289103,0.9999592498909624,10.654872936198728
2005-01-01 14:00:00,2005-01-01 14:00:00,2005,1,1,0.6490193558206817,0.9999527395697936,10.648546751518618
2005-01-01 15:00:00,2005-01-01 15:00:00,2005,1,1,0.7467909720394562,0.9999457470183493,10.74624844222295
2005-01-01 16:00:00,2005-01-01 16:00:00,2005,1,1,0.856007433822956,0.9999382722400014,10.85539015622297
2005-01-01 17:00:00,2005-01-01 17:00:00,2005,1,1,0.8426690349739303,0.9999303152383551,10.84197218735748
2005-01-01 18:00:00,2005-01-01 18:00:00,2005,1,1,0.31924815461180966,0.9999218760172474,10.318466914784283
2005-01-01 19:00:00,2005-01-01 19:00:00,2005,1,1,0.7073287483928296,0.999912954580748,10.70645829420031
2005-01-01 20:00:00,2005-01-01 20:00:00,2005,1,1,0.11825899875323131,0.9999035509331596,10.117294508084829
2005-01-01 21:00:00,2005-01-01 21:00:00,2005,1,1,0.5230765349377252,0.9998936650790171,10.522013185727896
